|     ID |         Name |           RA |          DEC |         Obj. Type |           Redshift |                     Host Name | Host Redshift |                                          Reporting Group/s |                              Discovery Data Source/s |                 Classifying Group/s |                                      Associated Group/s |           Disc. Internal Name |                                                                                                                                                             Disc. Instrument/s |                                              Class. Instrument/s | TNS AT | Public | End Prop. Period | Discovery Mag/Flux | Discovery Filter |     Discovery Date (UT) |                  Sender | Remarks | Unreal |   Discovery Bibcode |                                                            Classification Bibcodes | Ext. catalog/s | Auto classification | Classification_date | Classification_bibcode_applied |
| 193387 |  SN 2025aeni | 09:46:29.524 | -17:30:29.46 |             SN Ia |              0.055 |                               |               |                         ATLAS, ZTF, GOTO, Fink, Pan-STARRS |                         ATLAS, ZTF, GOTO, Pan-STARRS |                                 ZTF |                            ATLAS, GOTO, Pan-STARRS, ZTF |                    ATLAS25oqw |                                                                        ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS2 - GPC2 |                                                       P60 - SEDM |      1 |      1 |                  |             18.641 |       cyan-ATLAS | 2025-11-23 07:07:20.928 |              ATLAS_Bot1 |         |        | 2025TNSTR4685....1T |                                                                2025TNSCR4792....1S |                |                     |          2025-12-01 |            2025TNSCR4792....1S |
| 193385 |  SN 2025aeng | 03:02:25.402 | -17:27:13.68 |             SN Ia |             0.0807 |                               |               |                                        ATLAS, ALeRCE, GOTO |                                     ATLAS, ZTF, GOTO |                                 ZTF |                                        ATLAS, GOTO, ZTF |                    ATLAS25oqt |                                                                                                          ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, GOTO-S - GOTO-3, P48 - ZTF-Cam |                                                   Lick-3m - KAST |      1 |      1 |                  |             18.918 |     orange-ATLAS | 2025-11-21 21:32:56.832 |              ATLAS_Bot1 |         |        | 2025TNSTR4685....1T |                                                                2026TNSCR..16....1L |                |                     |          2026-01-02 |            2026TNSCR..16....1L |
| 193207 |  SN 2025aegk | 03:44:52.101 | -59:08:19.74 |             SN Ib |            0.01841 |                               |               |                                                ATLAS, GOTO |                                          ATLAS, GOTO |                  Supernova Alliance |                                             ATLAS, GOTO |                    ATLAS25opg |                                                                                                                         ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4 |                                                 ANU-2.3m - WiFeS |      1 |      1 |                  |             18.674 |       cyan-ATLAS | 2025-11-19 04:49:22.944 |              ATLAS_Bot1 |         |        | 2025TNSTR4667....1T |                                                                2025TNSCR4776....1S |                |                     |          2025-11-30 |            2025TNSCR4776....1S |
| 193190 |  SN 2025aeft | 02:21:35.642 | -14:18:04.49 |             SN II |             0.0366 |                               |               |                                      ATLAS, GOTO, ZTF, YSE |                         ATLAS, GOTO, ZTF, Pan-STARRS |                                None |                            ATLAS, GOTO, Pan-STARRS, ZTF |                    ATLAS25oot |                                                                                         ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS2 - GPC2 |                                             Lijiang-2.4m - YFOSC |      1 |      1 |                  |             17.483 |       cyan-ATLAS | 2025-11-20 03:34:35.328 |              ATLAS_Bot1 |         |        | 2025TNSTR4657....1T |                                                                2025TNSCR4790....1W |                |                     |          2025-12-01 |            2025TNSCR4790....1W |
| 193163 |  SN 2025aeet | 01:32:56.269 | -10:37:54.19 |            SN IIb |            0.02247 |                               |               |                                GOTO, LAST, ZTF, Pan-STARRS |                          GOTO, LAST, ZTF, Pan-STARRS |                                 ZTF |                             GOTO, LAST, Pan-STARRS, ZTF |                     GOTO25kme |                                                                                                                    GOTO-S - GOTO-3, LAST - LAST-Cam, P48 - ZTF-Cam, PS2 - GPC2 |                                                      P200 - NGPS |      1 |      1 |                  |              19.47 |           L-GOTO | 2025-11-19 11:03:33.984 |                GOTO_bot |         |        | 2025TNSTR4645....1O |                                                                2025TNSCR5028....1D |                |                     |          2025-12-17 |            2025TNSCR5028....1D |
| 193145 |  SN 2025aeeb | 02:11:22.558 | +39:53:34.87 |             SN Ia |               0.05 |                               |               |                LAST, ATLAS, ALeRCE, GOTO, Pan-STARRS, WFST |             LAST, ATLAS, ZTF, GOTO, Pan-STARRS, WFST |                                 ZTF |                ATLAS, GOTO, LAST, Pan-STARRS, WFST, ZTF |                               |                                      ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC |                                                       P60 - SEDM |      1 |      1 |                  |              19.67 |           Clear- | 2025-11-18 20:59:05.568 |               LAST_Bot1 |         |        | 2025TNSTR4647....1O |                                                                2025TNSCR4730....1F |                |                     |          2025-11-26 |            2025TNSCR4730....1F |
| 193143 |  SN 2025aedz | 05:50:46.633 | +58:54:53.17 |             SN II |              0.012 |                               |               |                             Tomo-e Gozen, ZTF, ATLAS, GOTO |                       Tomo-e Gozen, ZTF, ATLAS, GOTO |                                None |                          ATLAS, GOTO, Tomo-e Gozen, ZTF |                               |                                                                                                            ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam |                                                BL41 - FOSC-E5535 |      1 |      1 |                  |              17.19 |           Clear- | 2025-11-18 19:20:38.400 |           Taiga Sasaoka |         |        | 2025TNSTR4639....1S |                                                                2025TNSCR4740....1B |                |                     |          2025-11-27 |            2025TNSCR4740....1B |
| 193142 |  SN 2025aedy | 05:00:31.742 | -62:04:20.45 |            SN IIb |              0.028 |                               |               |                                                GOTO, ATLAS |                                          GOTO, ATLAS |                              adH0cc |                                             ATLAS, GOTO |                     GOTO25klg |                                                                                                                    ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4 |                                                  VLT-UT1 - FORS2 |      1 |      1 |                  |              19.46 |           L-GOTO | 2025-11-18 13:22:39.360 |                GOTO_bot |         |        | 2025TNSTR4636....1R |                                                                2025TNSCR4918....1C |                |                     |          2025-12-10 |            2025TNSCR4918....1C |
| 193134 |  SN 2025aedq | 23:18:40.211 | +27:38:48.53 |             SN Ia |             0.0666 |                               |               |                                           LAST, ZTF, ATLAS |                                     LAST, ZTF, ATLAS |                        ZTF, VHU-TDA |                                        ATLAS, LAST, ZTF |                               |                                                                                                                           ATLAS-HKO - ATLAS-02, LAST - LAST-Cam, P48 - ZTF-Cam |                                     FLWO-1.5m - FAST, P60 - SEDM |      1 |      1 |                  |              18.72 |           Clear- | 2025-11-18 16:51:24.768 |               LAST_Bot1 |         |        | 2025TNSTR4637....1O |                                           2025TNSCR4763....1F, 2025TNSCR4810....1D |                |                     |          2025-11-29 |            2025TNSCR4763....1F |
| 193125 |  SN 2025aedh | 09:20:45.308 | +25:58:07.38 |             SN Ia |               0.02 |                               |               |                         GOTO, ATLAS, ZTF, Pan-STARRS, WFST |                   GOTO, ATLAS, ZTF, Pan-STARRS, WFST |                                 ZTF |                      ATLAS, GOTO, Pan-STARRS, WFST, ZTF |                     GOTO25kiq |                                                                        ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC |                                                       P60 - SEDM |      1 |      1 |                  |              18.28 |           L-GOTO | 2025-11-18 03:26:03.840 |                GOTO_bot |         |        | 2025TNSTR4636....1R |                                                                2025TNSCR5026....1S |                |                     |          2025-12-17 |            2025TNSCR5026....1S |
| 193120 |  SN 2025aedc | 04:44:13.053 | +11:56:53.48 |             SN II |              0.015 |                               |               |                                     ATLAS, ZTF, Pan-STARRS |                               ATLAS, ZTF, Pan-STARRS |                                 ZTF |                                  ATLAS, Pan-STARRS, ZTF |                    ATLAS25omz |                                                                                                          ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, P48 - ZTF-Cam, PS2 - GPC2 |                                                      P200 - NGPS |      1 |      1 |                  |             19.062 |       wide-ATLAS | 2025-11-16 00:53:20.256 |              ATLAS_Bot1 |         |        | 2025TNSTR4634....1T |                                                                2025TNSCR4947....1D |                |                     |          2025-12-12 |            2025TNSCR4947....1D |
| 193119 |  SN 2025aedb | 23:03:01.779 | -00:50:38.61 |            SN IIP |              0.022 |                               |               |                               GOTO, ATLAS, YSE, Pan-STARRS |                              GOTO, ATLAS, Pan-STARRS |                                SCAT |                                 ATLAS, GOTO, Pan-STARRS |                     GOTO25khs |                                                                                            ATLAS-STH - ATLAS-03, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, PS1 - GPC1, PS2 - GPC2 |                                                     UH88 - SNIFS |      1 |      1 |                  |              18.52 |           L-GOTO | 2025-11-17 19:48:08.640 |                GOTO_bot |         |        | 2025TNSTR4635....1O |                                                                2025TNSCR4741....1K |                |                     |          2025-11-27 |            2025TNSCR4741....1K |
| 193113 |  SN 2025aecv | 12:27:19.927 | +64:48:12.05 |             SN II |             0.0088 |                               |               |                                  ATLAS, PSST-XL, GOTO, ZTF |                                     ATLAS, GOTO, ZTF |                                 ZTF |                                        ATLAS, GOTO, ZTF |                    ATLAS25omp |                                                                                                            ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam |                                                       P60 - SEDM |      1 |      1 |                  |             17.589 |       wide-ATLAS | 2025-11-18 04:49:35.904 |              ATLAS_Bot1 |         |        | 2025TNSTR4634....1T |                                                                2025TNSCR4701....1R |                |                     |          2025-11-24 |            2025TNSCR4701....1R |
| 193095 |  SN 2025aecd | 01:48:59.626 | +18:54:33.75 |             SN Ia |               0.09 |                               |               |                                     LAST, GOTO, ATLAS, ZTF |                               LAST, GOTO, ATLAS, ZTF |                                 ZTF |                                  ATLAS, GOTO, LAST, ZTF |                               |                                                                                    ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, LAST - LAST-Cam, P48 - ZTF-Cam |                                                       P60 - SEDM |      1 |      1 |                  |              20.06 |           Clear- | 2025-11-17 19:11:02.976 |               LAST_Bot1 |         |        | 2025TNSTR4620....1K |                                                                2025TNSCR4753....1F |                |                     |          2025-11-28 |            2025TNSCR4753....1F |
| 193085 |  SN 2025aebt | 07:09:18.746 | +20:38:19.49 |             SN Ib |           0.017649 |                               |               |                         ATLAS, ZTF, GOTO, Pan-STARRS, WFST |                   ATLAS, ZTF, GOTO, Pan-STARRS, WFST |                                 ZTF |                      ATLAS, GOTO, Pan-STARRS, WFST, ZTF |                    ATLAS25omh |                                                                                              ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1, WFST - WFST-WFC |                                                       P60 - SEDM |      1 |      1 |                  |             19.173 |       cyan-ATLAS | 2025-11-17 12:06:48.672 |              ATLAS_Bot1 |         |        | 2025TNSTR4613....1T |                                                                2025TNSCR4714....1S |                |                     |          2025-11-25 |            2025TNSCR4714....1S |
| 192958 |  SN 2025adww | 23:58:40.590 | -17:33:32.78 |             SN Ia |             0.0315 |                               |               |                                                      ATLAS |                                                ATLAS |                               LiONS |                                                   ATLAS |                    ATLAS25oko |                                                                                                                                     ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03 |                                             Lijiang-2.4m - YFOSC |      1 |      1 |                  |             17.648 |       cyan-ATLAS | 2025-11-15 08:39:50.400 |              ATLAS_Bot1 |         |        | 2025TNSTR4613....1T |                                                                2025TNSCR4673....1L |                |                     |          2025-11-21 |            2025TNSCR4673....1L |
| 192945 |  SN 2025adwj | 05:26:56.722 | +68:21:23.07 |             SN Ia |               0.09 |                               |               |                               ATLAS, ZTF, GOTO, Pan-STARRS |                         ATLAS, ZTF, GOTO, Pan-STARRS |                                 ZTF |                            ATLAS, GOTO, Pan-STARRS, ZTF |                    ATLAS25ojz |                                                                                                               ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2 |                                                       P60 - SEDM |      1 |      1 |                  |              18.18 |       wide-ATLAS | 2025-11-15 01:37:37.056 |              ATLAS_Bot1 |         |        | 2025TNSTR4613....1T |                                                                2025TNSCR4764....1S |                |                     |          2025-11-29 |            2025TNSCR4764....1S |
| 192933 |  SN 2025advx | 07:53:16.950 | +32:47:20.02 |             SN Ia |             0.0755 |                               |               |                         ATLAS, ZTF, GOTO, Pan-STARRS, WFST |                   ATLAS, ZTF, GOTO, Pan-STARRS, WFST |                                 ZTF |                      ATLAS, GOTO, Pan-STARRS, WFST, ZTF |                    ATLAS25ojn |                                                                             ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC |                                                       P60 - SEDM |      1 |      1 |                  |              18.77 |       cyan-ATLAS | 2025-11-16 12:41:54.240 |              ATLAS_Bot1 |         |        | 2025TNSTR4613....1T |                                                                2025TNSCR4995....1W |                |                     |          2025-12-15 |            2025TNSCR4995....1W |
| 192931 |  SN 2025advv | 06:08:30.768 | -24:38:53.52 |             SN II |             0.0487 |                               |               |                          ATLAS, ZTF, YSE, GOTO, Pan-STARRS |                         ATLAS, ZTF, Pan-STARRS, GOTO |                                UCSC |                            ATLAS, GOTO, Pan-STARRS, ZTF |                    ATLAS25ojl |                                                                                         ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS1 - GPC1 |                                                   Lick-3m - KAST |      1 |      1 |                  |              18.96 |       cyan-ATLAS | 2025-11-15 11:30:23.616 |              ATLAS_Bot1 |         |        | 2025TNSTR4613....1T |                                                                2025TNSCR4981....1D |                |                     |          2025-12-14 |            2025TNSCR4981....1D |
| 192924 |  SN 2025advo | 08:17:39.884 | +04:36:53.16 |             SN Ic |           0.014083 |                               |               |                               ATLAS, GOTO, ZTF, Pan-STARRS |                         ATLAS, GOTO, ZTF, Pan-STARRS |                                GOTO |                            ATLAS, GOTO, Pan-STARRS, ZTF |                    ATLAS25ogq |                                                                                                               ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2 |                                                     NOT - ALFOSC |      1 |      1 |                  |             16.895 |       wide-ATLAS | 2025-11-17 03:27:44.928 |              ATLAS_Bot1 |         |        | 2025TNSTR4613....1T |                                                                2025TNSCR4728....1P |                |                     |          2025-11-26 |            2025TNSCR4728....1P |
| 192889 |  SN 2025aduf | 01:42:47.765 | +12:31:45.08 |             SN Ia |           0.045251 |                               |               |                               GOTO, ATLAS, ZTF, Pan-STARRS |                         GOTO, ATLAS, ZTF, Pan-STARRS |                                 ZTF |                            ATLAS, GOTO, Pan-STARRS, ZTF |                     GOTO25kew |                                                                                         ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2 |                                                       P60 - SEDM |      1 |      1 |                  |               19.5 |           L-GOTO | 2025-11-16 23:09:42.048 |                GOTO_bot |         |        | 2025TNSTR4598....1O |                                                                2025TNSCR4753....1F |                |                     |          2025-11-28 |            2025TNSCR4753....1F |
| 192880 |  SN 2025adtw | 05:38:09.402 | -67:51:26.96 |             SN Ia |            0.02285 |                               |               |                                                GOTO, ATLAS |                                          GOTO, ATLAS |                                None |                                             ATLAS, GOTO |                     GOTO25kee |                                                                                                                                          ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4 |                                                 ANU-2.3m - WiFeS |      1 |      1 |                  |              18.76 |           L-GOTO | 2025-11-16 16:54:50.400 |                GOTO_bot |         |        | 2025TNSTR4598....1O |                                                                2025TNSCR4655....1L |                |                     |          2025-11-19 |            2025TNSCR4655....1L |
| 192874 |  SN 2025adtq | 11:42:27.403 | +34:00:30.50 |            SN IIb |             0.0333 |                               |               |                         Pan-STARRS, WFST, GOTO, ZTF, ATLAS |                   Pan-STARRS, WFST, GOTO, ZTF, ATLAS |                                 ZTF |                      ATLAS, GOTO, Pan-STARRS, WFST, ZTF |                       PS25ijt |                                                            ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2, WFST - WFST-WFC |                                                                  |      1 |      1 |                  |              20.22 |             i-P1 | 2025-11-15 14:17:08.736 |                PS1_Bot1 |         |        | 2025TNSTR4606....1C |                                                                2026TNSCR.797....1R |                |                     |          2026-02-24 |            2026TNSCR.797....1R |
| 192823 |  SN 2025adrr | 11:07:31.897 | +23:22:37.92 |             SN Ia |              0.056 |                               |               |                              Pan-STARRS, ATLAS, GOTO, WFST |                        Pan-STARRS, ATLAS, GOTO, WFST |                                None |                           ATLAS, GOTO, Pan-STARRS, WFST |                       PS25iiu |                                                                                ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, PS1 - GPC1, PS2 - GPC2, WFST - WFST-WFC |                                                   HCT-2m - HFOSC |      1 |      1 |                  |              18.54 |             i-P1 | 2025-11-15 13:31:03.936 |                PS1_Bot1 |         |        | 2025TNSTR4606....1C |                                                                2025TNSCR4641....1D |                |                     |          2025-11-18 |            2025TNSCR4641....1D |
| 192770 |  SN 2025adpq | 23:56:27.703 | -33:20:51.88 |             SN Ia |              0.154 |                               |               |                                                   GW-MMADS |                                             GW-MMADS |                            GW-MMADS |                                                GW-MMADS |       T202511142356277m332052 |                                                                                                                                                                CTIO-4m - DECAM |                                                Gemini-S - GMOS-S |      1 |      1 |                  |            20.4951 |          g-Sloan | 2025-11-14 01:47:30.624 |            GW-MMADS_bot |         |        | 2025TNSTR4589....1H |                                                                2026TNSCR1144....1H |                |                     |          2026-03-17 |            2026TNSCR1144....1H |
| 192658 |  SN 2025adli | 03:48:28.667 | -18:45:05.94 |             SN Ia |               0.04 |                               |               |                          GOTO, YSE, ATLAS, ZTF, Pan-STARRS |                         GOTO, Pan-STARRS, ATLAS, ZTF |                                UCSC |                            ATLAS, GOTO, Pan-STARRS, ZTF |                     GOTO25kci |                                                                                         ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS2 - GPC2 |                                                   Lick-3m - KAST |      1 |      1 |                  |              19.19 |           L-GOTO | 2025-11-11 13:46:58.656 |                GOTO_bot |         |        | 2025TNSTR4588....1O |                                                                2025TNSCR4777....1P |                |                     |          2025-11-30 |            2025TNSCR4777....1P |
| 192602 |  SN 2025adje | 13:28:48.658 | +38:44:47.39 |             SN II |            0.00796 |     WISEA J132849.14+384442.4 |               |                      ASAS-SN, ZTF, ATLAS, GOTO, LAST, WFST |                ASAS-SN, ZTF, ATLAS, GOTO, LAST, WFST |                                None |                   ASAS-SN, ATLAS, GOTO, LAST, WFST, ZTF |                   ASASSN-25et |                                                    ASASSN-4 - Leavitt, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam, WFST - WFST-WFC |                                                     NOT - ALFOSC |      1 |      1 |                  |               14.7 |          g-Sloan | 2025-11-14 12:14:24.000 |        Krzysztof Stanek |         |        | 2025TNSTR4569....1S |                                                                2025TNSCR4664....1P |                |                     |          2025-11-20 |            2025TNSCR4664....1P |
| 192600 |  SN 2025adjc | 23:56:23.930 | -31:21:11.50 |             SN Ia |           0.028563 |                               |               |                                                   BlackGEM |                                             BlackGEM |                                None |                                                BlackGEM |      BGEM J235623.93-312111.5 |                                                                                                                                       BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam |                                                   FTS - FLOYDS-S |      1 |      1 |                  |              18.16 |    BG-q-BlackGem | 2025-11-13 00:41:46.000 |           BlackGEM_Bot1 |         |        | 2025TNSTR4571....1T |                                                                2025TNSCR4665....1F |                |                     |          2025-11-20 |            2025TNSCR4665....1F |
| 192597 |  SN 2025adiz | 23:38:11.815 | -25:47:49.04 |             SN Ia |               0.13 |                               |               |                          GOTO, GW-MMADS, ATLAS, Pan-STARRS |                    GOTO, GW-MMADS, ATLAS, Pan-STARRS |                             SAGUARO |                       ATLAS, GOTO, GW-MMADS, Pan-STARRS |                     GOTO25jzt |                                                                      ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, CTIO-4m - DECAM, GOTO-S - GOTO-3, GOTO-S - GOTO-4, PS2 - GPC2 |                                    MMT - BINOSPEC, Other - Other |      1 |      1 |                  |              19.79 |           L-GOTO | 2025-11-14 09:56:35.520 |                GOTO_bot |         |        | 2025TNSTR4575....1O |                                           2025TNSCR4593....1S, 2025TNSCR4594....1S |                |                     |          2025-11-15 |            2025TNSCR4593....1S |
| 192594 |  SN 2025adiw | 01:45:17.795 | -50:10:46.22 |             SN Ia |              0.165 |                               |               |                                                       GOTO |                                                 GOTO |                                STEP |                                                    GOTO |                     GOTO25jzc |                                                                                                                                               GOTO-S - GOTO-3, GOTO-S - GOTO-4 |                                                   SOAR - Goodman |      1 |      1 |                  |              19.96 |           L-GOTO | 2025-11-14 11:44:38.112 |                GOTO_bot |         |        | 2025TNSTR4572....1K |                                                                2025TNSCR4628....1K |                |                     |          2025-11-17 |            2025TNSCR4628....1K |
| 192584 |  SN 2025adim | 01:22:08.799 | -44:24:37.56 |             SN Ia |              0.091 |                               |               |                                                       GOTO |                                                 GOTO |                                STEP |                                                    GOTO |                     GOTO25jyt |                                                                                                                                               GOTO-S - GOTO-3, GOTO-S - GOTO-4 |                                                   SOAR - Goodman |      1 |      1 |                  |              19.99 |           L-GOTO | 2025-11-14 10:27:19.296 |                GOTO_bot |         |        | 2025TNSTR4578....1A |                                                                2025TNSCR4628....1K |                |                     |          2025-11-17 |            2025TNSCR4628....1K |
| 192564 |  SN 2025adhs | 04:12:56.396 | -54:11:46.41 |           SLSN-II |               0.04 |                               |               |                                                   BlackGEM |                                             BlackGEM |                                None |                                                BlackGEM |      BGEM J041256.40-541146.4 |                                                                                                                                       BG3 - BlackGEM-Cam3, ML1 - MeerLICHT-Cam |                                                   SOAR - Goodman |      1 |      1 |                  |               19.1 |    BG-q-BlackGem | 2025-11-13 04:20:34.000 |           BlackGEM_Bot1 |         |        | 2025TNSTR4552....1T |                                                                2026TNSCR.829....1B |                |                     |          2026-02-25 |            2026TNSCR.829....1B |
| 192560 |  SN 2025adho | 11:16:17.728 | -13:57:27.44 |             SN II |           0.018129 |                  LEDA  930946 |       0.01813 |                            ALeRCE, ATLAS, GOTO, Pan-STARRS |                         ZTF, ATLAS, GOTO, Pan-STARRS |                                 ZTF |                            ATLAS, GOTO, Pan-STARRS, ZTF |                  ZTF25acefezu |                                                                        ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS1 - GPC1 |                                                       P60 - SEDM |      1 |      1 |                  |             18.064 |            r-ZTF | 2025-11-13 13:20:15.996 |                  ALeRCE |         |        | 2025TNSTR4549....1M |                                                                2025TNSCR4715....1S |                |                     |          2025-11-25 |            2025TNSCR4715....1S |
| 192559 |  SN 2025adhn | 11:57:15.479 | -08:08:39.74 |             SN II |           0.018306 |     WISEA J115715.57-080841.3 |               |                                               ALeRCE, GOTO |                                            ZTF, GOTO |                                 ZTF |                                               GOTO, ZTF |                  ZTF25aceffvo |                                                                                                                                GOTO-N - GOTO-2, GOTO-S - GOTO-3, P48 - ZTF-Cam |                                                      P200 - NGPS |      1 |      1 |                  |            18.5797 |            r-ZTF | 2025-11-13 13:25:12.003 |                  ALeRCE |         |        | 2025TNSTR4549....1M |                                                                2025TNSCR4815....1D |                |                     |          2025-12-02 |            2025TNSCR4815....1D |
| 192550 |  SN 2025adhf | 02:43:44.411 | -55:19:06.44 |             SN Ia |              0.098 |                               |               |                                      ATLAS, BlackGEM, GOTO |                                ATLAS, BlackGEM, GOTO |                                STEP |                                   ATLAS, BlackGEM, GOTO |                    ATLAS25ofn |                                                                          ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-4, ML1 - MeerLICHT-Cam |                                                   SOAR - Goodman |      1 |      1 |                  |              18.85 |     orange-ATLAS | 2025-11-13 01:37:58.656 |              ATLAS_Bot1 |         |        | 2025TNSTR4551....1T |                                                                2025TNSCR4628....1K |                |                     |          2025-11-17 |            2025TNSCR4628....1K |
| 192535 |  SN 2025adgq | 00:29:31.781 | -39:30:51.62 |             SN Ib |             0.0643 | WISExSCOS J002932.49-393059.7 |        0.0646 |                           MeerLICHT, BlackGEM, ATLAS, GOTO |                     MeerLICHT, BlackGEM, ATLAS, GOTO |                                None |                        ATLAS, BlackGEM, GOTO, MeerLICHT |                               |                                                         ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, BG2 - BlackGEM-Cam2, GOTO-S - GOTO-3, GOTO-S - GOTO-4, ML1 - MeerLICHT-Cam |                                                 ANU-2.3m - WiFeS |      1 |      1 |                  |              19.28 |    BG-q-BlackGem | 2025-11-13 00:03:38.000 |              Paul Groot |         |        | 2025TNSTR4560....1G |                                                                2025TNSCR4640....1L |                |                     |          2025-11-18 |            2025TNSCR4640....1L |
| 192534 |  SN 2025adgp | 01:47:46.202 | -51:49:25.52 |             SN Ia |             0.0478 |                               |               |                                      BlackGEM, ATLAS, GOTO |                                BlackGEM, ATLAS, GOTO |                            GW-MMADS |                                   ATLAS, BlackGEM, GOTO |      BGEM J014746.20-514925.5 |                                                         ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG2 - BlackGEM-Cam2, GOTO-S - GOTO-3, GOTO-S - GOTO-4, ML1 - MeerLICHT-Cam |                                                       SALT - RSS |      1 |      1 |                  |              19.15 |    BG-q-BlackGem | 2025-11-13 03:09:48.000 |           BlackGEM_Bot1 |         |        | 2025TNSTR4553....1G |                                                                2025TNSCR4584....1H |                |                     |          2025-11-14 |            2025TNSCR4584....1H |
| 192493 |  SN 2025adfa | 01:27:13.991 | -22:05:37.03 |            SLSN-I |               0.31 |                               |               |                                         DESIRT, ZTF, ATLAS |                                   DESIRT, ZTF, ATLAS |                                 ZTF |                                      ATLAS, DESIRT, ZTF |       C202511090127140m220537 |                                                                                                                           ATLAS-HKO - ATLAS-02, CTIO-4m - DECAM, P48 - ZTF-Cam |                                                   SOAR - Goodman |      1 |      1 |                  |            21.3096 |          r-Sloan | 2025-11-09 02:44:20.832 |              DESIRT_Bot |         |        | 2025TNSTR4537....1H |                                                                2026TNSCR..17....1C |                |                     |          2026-01-02 |            2026TNSCR..17....1C |
| 192443 |  SN 2025addc | 04:55:26.089 | -53:09:43.44 |             SN Ia |              0.145 |                               |               |                                      GOTO, BlackGEM, ATLAS |                                GOTO, BlackGEM, ATLAS |                  GW-MMADS, BlackGEM |                                   ATLAS, BlackGEM, GOTO |                     GOTO25jyg |                                                                               ATLAS-CHL - ATLAS-04, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-3, GOTO-S - GOTO-4, ML1 - MeerLICHT-Cam |                                                       SALT - RSS |      1 |      1 |                  |               19.7 |           L-GOTO | 2025-11-12 16:15:29.088 |                GOTO_bot |         |        | 2025TNSTR4540....1A |                                           2025TNSCR4585....1H, 2025TNSCR4626....1d |                |                     |          2025-11-14 |            2025TNSCR4585....1H |
